Source,Target,Weight
Tirana,Coimbra,9.900990099009762
Tirana,Ostrava,9.900990099009762
Tirana,Granada,4.975124378109382
Vienna,Hamburg,1000.0
Vienna,Helsinki,9.900990099010459
Vienna,Nice,9.900990099009762
Graz,Brescia,1000.0
Graz,Belfast,9.900990099009762
Graz,Nuremberg,4.975124378109382
Villach,Grenoble,4.975124378109558
Villach,Aachen,1.663893510815304
Villach,Tallinn,1.663893510815304
Minsk,Perm,2.4937655860349217
Minsk,Kiev (Kyiv),1.2484394506866405
Minsk,Stara Zagora,0.908265213442324
Brussels,Dusseldorf,9.900990099009762
Brussels,Leiden,9.900990099009762
Brussels,Aalborg,3.322259136212656
Gent,Cologne,1000.0
Gent,Darmstadt,1000.0
Gent,Florence,4.975124378109382
Antwerp,Groningen,1000.0
Antwerp,Marseille,1000.0
Antwerp,Augsburg,9.900990099009762
Leuven,Bremen,1000.0
Leuven,Dortmund,9.900990099010459
Leuven,Hanover,9.900990099010459
Sarajevo,Yekaterinburg,1.4265335235378045
Sarajevo,Burgas,1.10987791342952
Sarajevo,Timisoara,0.9990009990009991
Sofia,Lodz,1.996007984031936
Sofia,Poznan,1.663893510815304
Sofia,Pecs,1.1098779134295245
Varna,Podgorica,9.900990099009762
Varna,Saint Petersburg,4.97512437810947
Varna,Constanta,3.3222591362126166
Burgas,Timisoara,9.90099009901011
Burgas,Tyumen,9.90099009901011
Burgas,Iasi,1.996007984031936
Plovdiv,Iasi,4.97512437810947
Plovdiv,Chisinau,3.3222591362126166
Plovdiv,Craiova,1.996007984031936
Stara Zagora,Dnipro,9.90099009901011
Stara Zagora,Lviv,1.4265335235378045
Stara Zagora,Minsk,0.908265213442324
Split,Naples,1000.0
Split,Ljubljana,9.900990099009762
Split,Cagliari,2.4937655860349217
Zagreb,Tartu,3.322259136212656
Zagreb,Kosice,1.996007984031936
Zagreb,Vilnius,1.996007984031936
Rijeka,Gdansk,1000.0
Rijeka,Budapest,9.900990099010459
Rijeka,Wroclaw,9.900990099009762
Prague,Essen,1000.0
Prague,Treviso,1000.0
Prague,Lisbon,9.900990099010459
Brno,Santa Cruz de Tenerife,1000.0
Brno,Remagen,3.322259136212656
Brno,Kosice,3.3222591362125775
Plzen,Braga,4.975124378109382
Plzen,Kaunas,4.975124378109382
Plzen,Catania,3.322259136212656
Ostrava,Coimbra,1000.0
Ostrava,Granada,9.900990099009762
Ostrava,Tirana,9.900990099009762
Copenhagen,Oslo,1.996007984031936
Copenhagen,Dublin,0.9082652134423299
Copenhagen,Luxembourg,0.9082652134423299
Aalborg,Eindhoven,1000.0
Aalborg,Espoo,1000.0
Aalborg,Limerick,9.900990099009762
Aarhus,Delft,4.975124378109382
Aarhus,Bristol,3.322259136212656
Aarhus,Milan,2.4937655860349217
Odense,Milton Keynes,1000.0
Odense,Bournemouth,9.900990099010459
Odense,Stuttgart,4.975124378109382
Tallinn,Grenoble,2.4937655860348773
Tallinn,Cagliari,1.996007984031936
Tallinn,Villach,1.663893510815304
Tartu,Vilnius,4.975124378109382
Tartu,Zagreb,3.322259136212656
Tartu,Alicante,2.4937655860349217
Espoo,Aalborg,1000.0
Espoo,Eindhoven,1000.0
Espoo,Limerick,9.900990099009762
Helsinki,Hamburg,9.900990099010459
Helsinki,Vienna,9.900990099010459
Helsinki,Southampton,9.900990099009762
Turku,Lisbon,9.900990099009762
Turku,Lund,9.900990099009762
Turku,Palma de Mallorca,9.900990099009762
Paris,Galway,9.900990099009762
Paris,Utrecht,2.4937655860349217
Paris,Munich,1.996007984031936
Strasbourg,Wiesbaden,1000.0
Strasbourg,Cardiff,9.900990099009762
Strasbourg,Birmingham,4.975124378109382
Marseille,Antwerp,1000.0
Marseille,Groningen,1000.0
Marseille,Augsburg,9.900990099009762
Nice,Hamburg,9.900990099009762
Nice,Vienna,9.900990099009762
Nice,Helsinki,4.975124378109558
Lyon,Karlsruhe,1000.0
Lyon,Augsburg,4.975124378109558
Lyon,Malmo,4.975124378109558
Bordeaux,Gothenburg,4.975124378109558
Bordeaux,Madrid,4.975124378109558
Bordeaux,Coventry,3.322259136212656
Toulouse,Dortmund,1000.0
Toulouse,Hanover,1000.0
Toulouse,Bremen,9.900990099010459
Lille,Leipzig,9.900990099010459
Lille,Sheffield,9.900990099010459
Lille,Dresden,9.900990099009762
Grenoble,Villach,4.975124378109558
Grenoble,Tallinn,2.4937655860348773
Grenoble,Aachen,1.248439450686646
Montpellier,Padova,1000.0
Montpellier,Trento,1000.0
Montpellier,Aachen,9.900990099009762
Munich,Stavanger,1000.0
Munich,Utrecht,9.900990099009762
Munich,Paris,1.996007984031936
Frankfurt,Edinburgh,4.975124378109558
Frankfurt,Manchester,2.4937655860349217
Frankfurt,Reading,2.4937655860349217
Dusseldorf,Brussels,9.900990099009762
Dusseldorf,Leiden,4.975124378109382
Dusseldorf,Aalborg,2.4937655860349217
Heidelberg,Limerick,9.900990099009762
Heidelberg,Aalborg,4.975124378109382
Heidelberg,Eindhoven,4.975124378109382
Hamburg,Vienna,1000.0
Hamburg,Helsinki,9.900990099010459
Hamburg,Nice,9.900990099009762
Wiesbaden,Strasbourg,1000.0
Wiesbaden,Cardiff,9.900990099009762
Wiesbaden,Birmingham,4.975124378109382
Darmstadt,Cologne,1000.0
Darmstadt,Gent,1000.0
Darmstadt,Florence,4.975124378109382
Stuttgart,Milton Keynes,4.975124378109382
Stuttgart,Odense,4.975124378109382
Stuttgart,Sliema,4.975124378109382
Cologne,Darmstadt,1000.0
Cologne,Gent,1000.0
Cologne,Florence,4.975124378109382
Augsburg,Malmo,1000.0
Augsburg,Antwerp,9.900990099009762
Augsburg,Groningen,9.900990099009762
Essen,Prague,1000.0
Essen,Treviso,1000.0
Essen,Lisbon,9.900990099010459
Dortmund,Hanover,1000.0
Dortmund,Toulouse,1000.0
Dortmund,Bremen,9.900990099010459
Berlin,Dusseldorf,1.996007984031936
Berlin,Southampton,1.996007984031936
Berlin,Brussels,1.663893510815304
Kiel,Bolzano-Bozen,1000.0
Kiel,Dortmund,9.900990099009762
Kiel,Erlangen,9.900990099009762
Bonn,Cardiff,3.322259136212656
Bonn,Rome,2.4937655860349217
Bonn,Strasbourg,2.4937655860349217
Nuremberg,Barcelona,4.975124378109558
Nuremberg,Liverpool,4.975124378109558
Nuremberg,Valletta,4.975124378109558
Dresden,Lille,9.900990099009762
Dresden,Lund,9.900990099009762
Dresden,Palma de Mallorca,9.900990099009762
Karlsruhe,Lyon,1000.0
Karlsruhe,Augsburg,4.975124378109558
Karlsruhe,Malmo,4.975124378109558
Mannheim,Nottingham,9.900990099009762
Mannheim,Uppsala,9.900990099009762
Mannheim,Bremen,4.975124378109382
Bremen,Leuven,1000.0
Bremen,Dortmund,9.900990099010459
Bremen,Hanover,9.900990099010459
Hanover,Dortmund,1000.0
Hanover,Toulouse,1000.0
Hanover,Bremen,9.900990099010459
Leipzig,Sheffield,1000.0
Leipzig,Lille,9.900990099010459
Leipzig,Dresden,4.975124378109558
Erlangen,Bolzano-Bozen,9.900990099009762
Erlangen,Kiel,9.900990099009762
Erlangen,Dortmund,4.975124378109382
Aachen,Montpellier,9.900990099009762
Aachen,Padova,9.900990099009762
Aachen,Trento,9.900990099009762
Remagen,Brno,3.322259136212656
Remagen,Santa Cruz de Tenerife,3.322259136212656
Remagen,Athens,3.3222591362125775
Athens,Bratislava,4.975124378109558
Athens,Bari,3.322259136212656
Athens,Porto,3.322259136212656
Heraklion,Alicante,1000.0
Heraklion,Vilnius,4.975124378109558
Heraklion,Tartu,2.4937655860349217
Thessaloniki,Belgrade,9.900990099009762
Thessaloniki,Tirana,3.322259136212656
Thessaloniki,Coimbra,2.4937655860349217
Budapest,Gdansk,9.900990099010459
Budapest,Rijeka,9.900990099010459
Budapest,Krakow (Cracow),9.900990099009762
Pecs,Bucharest,9.900990099009762
Pecs,Cluj-Napoca,4.975124378109382
Pecs,Lodz,2.4937655860349217
Debrecen,Szczecin,1000.0
Debrecen,Cluj-Napoca,3.322259136212656
Debrecen,Brasov,3.3222591362125775
Reykjavik,London,0.3844675124951929
Reykjavik,Amsterdam,0.2173440556400785
Reykjavik,Bern,0.21272069772388838
Dublin,Luxembourg,1000.0
Dublin,Copenhagen,0.9082652134423299
Dublin,Oslo,0.6246096189881347
Cork,Bergen,9.900990099010459
Cork,Trondheim,9.900990099010459
Cork,Brighton,4.975124378109558
Galway,Paris,9.900990099009762
Galway,Haarlem,1.996007984031936
Galway,Utrecht,1.996007984031936
Limerick,Aalborg,9.900990099009762
Limerick,Eindhoven,9.900990099009762
Limerick,Espoo,9.900990099009762
Milan,Delft,4.975124378109558
Milan,Aarhus,2.4937655860349217
Milan,Bristol,1.4265335235378118
Florence,Cologne,4.975124378109382
Florence,Darmstadt,4.975124378109382
Florence,Gent,4.975124378109382
Brescia,Graz,1000.0
Brescia,Belfast,9.900990099009762
Brescia,Nuremberg,4.975124378109382
Bologna,Newcastle upon Tyne,1000.0
Bologna,Karlsruhe,3.3222591362125775
Bologna,Lyon,3.3222591362125775
Treviso,Essen,1000.0
Treviso,Prague,1000.0
Treviso,Lisbon,9.900990099010459
Bolzano-Bozen,Kiel,1000.0
Bolzano-Bozen,Dortmund,9.900990099009762
Bolzano-Bozen,Erlangen,9.900990099009762
Padova,Montpellier,1000.0
Padova,Trento,1000.0
Padova,Aachen,9.900990099009762
Trento,Montpellier,1000.0
Trento,Padova,1000.0
Trento,Aachen,9.900990099009762
Rome,Antwerp,4.975124378109382
Rome,Groningen,4.975124378109382
Rome,Marseille,4.975124378109382
Cagliari,Ljubljana,3.322259136212656
Cagliari,Naples,2.4937655860349217
Cagliari,Split,2.4937655860349217
Genoa,Trieste,2.4937655860349217
Genoa,Naples,1.996007984031936
Genoa,Split,1.996007984031936
Trieste,Bergamo,4.975124378109382
Trieste,Genoa,2.4937655860349217
Trieste,Warsaw,1.4265335235377974
Bergamo,Trieste,4.975124378109382
Bergamo,Warsaw,1.996007984031936
Bergamo,Genoa,1.663893510815304
Turin,Bilbao,1000.0
Turin,Malaga,9.900990099009762
Turin,Warsaw,3.322259136212656
Reggio Nell'emilia,Bari,9.900990099009762
Reggio Nell'emilia,Porto,9.900990099009762
Reggio Nell'emilia,Valencia,4.975124378109558
Naples,Split,1000.0
Naples,Ljubljana,9.900990099009762
Naples,Cagliari,2.4937655860349217
Pisa,Moscow,3.322259136212656
Pisa,Valencia,2.4937655860348773
Pisa,Reggio Nell'emilia,1.663893510815304
Bari,Porto,1000.0
Bari,Bratislava,9.900990099009762
Bari,Reggio Nell'emilia,9.900990099009762
Catania,Braga,9.900990099010459
Catania,Kaunas,9.900990099010459
Catania,Granada,9.900990099009762
Pristina,Odessa (Odesa),9.90099009901011
Pristina,Lviv,0.6662225183211193
Pristina,Dnipro,0.47596382674916676
Riga,Wroclaw,4.975124378109382
Riga,Gdansk,3.3222591362125775
Riga,Rijeka,3.3222591362125775
Vilnius,Alicante,4.975124378109558
Vilnius,Heraklion,4.975124378109558
Vilnius,Tartu,4.975124378109382
Kaunas,Braga,1000.0
Kaunas,Catania,9.900990099010459
Kaunas,Granada,4.975124378109558
Luxembourg,Dublin,1000.0
Luxembourg,Copenhagen,0.9082652134423299
Luxembourg,Oslo,0.6246096189881347
Sliema,Glasgow,9.900990099010459
Sliema,Stuttgart,4.975124378109382
Sliema,Cologne,3.322259136212656
Valletta,Barcelona,1000.0
Valletta,Liverpool,1000.0
Valletta,Nuremberg,4.975124378109558
Chisinau,Craiova,4.97512437810947
Chisinau,Plovdiv,3.3222591362126166
Chisinau,Sibiu,2.4937655860349217
Podgorica,Saint Petersburg,9.90099009901011
Podgorica,Varna,9.900990099009762
Podgorica,Constanta,4.97512437810947
Amsterdam,Dublin,0.2940311673037337
Amsterdam,Luxembourg,0.2940311673037337
Amsterdam,Copenhagen,0.2221728504776716
Haarlem,Oxford,9.900990099009762
Haarlem,Galway,1.996007984031936
Haarlem,Paris,1.663893510815304
Utrecht,Munich,9.900990099009762
Utrecht,Stavanger,9.900990099009762
Utrecht,Paris,2.4937655860349217
Rotterdam,Stockholm,1000.0
Rotterdam,The Hague (Den Haag),9.900990099009762
Rotterdam,Cork,1.996007984031936
Delft,Milan,4.975124378109558
Delft,Aarhus,4.975124378109382
Delft,Bristol,1.996007984031936
The Hague (Den Haag),Rotterdam,9.900990099009762
The Hague (Den Haag),Stockholm,9.900990099009762
The Hague (Den Haag),Cork,1.663893510815304
Eindhoven,Aalborg,1000.0
Eindhoven,Espoo,1000.0
Eindhoven,Limerick,9.900990099009762
Leiden,Brussels,9.900990099009762
Leiden,Aalborg,4.975124378109558
Leiden,Eindhoven,4.975124378109558
Groningen,Antwerp,1000.0
Groningen,Marseille,1000.0
Groningen,Augsburg,9.900990099009762
Skopje,Kaliningrad,9.900990099009762
Skopje,Krasnodar,4.97512437810947
Skopje,Oradea,4.97512437810947
Oslo,Copenhagen,1.996007984031936
Oslo,Dublin,0.6246096189881347
Oslo,Luxembourg,0.6246096189881347
Bergen,Trondheim,1000.0
Bergen,Cork,9.900990099010459
Bergen,Brighton,9.900990099009762
Trondheim,Bergen,1000.0
Trondheim,Cork,9.900990099010459
Trondheim,Brighton,9.900990099009762
Stavanger,Munich,1000.0
Stavanger,Utrecht,9.900990099009762
Stavanger,Paris,1.996007984031936
Warsaw,Malaga,4.975124378109558
Warsaw,Bilbao,3.322259136212656
Warsaw,Turin,3.322259136212656
Gdansk,Rijeka,1000.0
Gdansk,Budapest,9.900990099010459
Gdansk,Wroclaw,9.900990099009762
Krakow (Cracow),Seville (Sevilla),1000.0
Krakow (Cracow),Budapest,9.900990099009762
Krakow (Cracow),Las Palmas de Gran Canaria,9.900990099009762
Wroclaw,Gdansk,9.900990099009762
Wroclaw,Rijeka,9.900990099009762
Wroclaw,Budapest,4.975124378109558
Lodz,Pecs,2.4937655860349217
Lodz,Bucharest,1.996007984031936
Lodz,Sofia,1.996007984031936
Poznan,Sofia,1.663893510815304
Poznan,Plzen,1.248439450686646
Poznan,Braga,0.9990009990009991
Szczecin,Debrecen,1000.0
Szczecin,Cluj-Napoca,3.322259136212656
Szczecin,Brasov,3.3222591362125775
Katowice,Brasov,4.97512437810947
Katowice,Vladivostok,4.97512437810947
Katowice,Novi Sad,2.4937655860349217
Lisbon,Essen,9.900990099010459
Lisbon,Prague,9.900990099010459
Lisbon,Treviso,9.900990099010459
Porto,Bari,1000.0
Porto,Bratislava,9.900990099009762
Porto,Reggio Nell'emilia,9.900990099009762
Coimbra,Ostrava,1000.0
Coimbra,Granada,9.900990099009762
Coimbra,Tirana,9.900990099009762
Braga,Kaunas,1000.0
Braga,Catania,9.900990099010459
Braga,Granada,4.975124378109558
Bucharest,Cluj-Napoca,9.900990099009762
Bucharest,Pecs,9.900990099009762
Bucharest,Debrecen,2.4937655860349217
Cluj-Napoca,Bucharest,9.900990099009762
Cluj-Napoca,Pecs,4.975124378109382
Cluj-Napoca,Debrecen,3.322259136212656
Brasov,Vladivostok,1000.0
Brasov,Katowice,4.97512437810947
Brasov,Debrecen,3.3222591362125775
Constanta,Saint Petersburg,9.900990099009762
Constanta,Podgorica,4.97512437810947
Constanta,Varna,3.3222591362126166
Timisoara,Tyumen,1000.0
Timisoara,Burgas,9.90099009901011
Timisoara,Iasi,2.4937655860348995
Iasi,Plovdiv,4.97512437810947
Iasi,Timisoara,2.4937655860348995
Iasi,Tyumen,2.4937655860348995
Craiova,Chisinau,4.97512437810947
Craiova,Sibiu,4.97512437810947
Craiova,Plovdiv,1.996007984031936
Sibiu,Craiova,4.97512437810947
Sibiu,Chisinau,2.4937655860349217
Sibiu,Kazan,1.996007984031936
Oradea,Kaliningrad,9.90099009901011
Oradea,Samara,9.900990099009762
Oradea,Skopje,4.97512437810947
Moscow,Pisa,3.322259136212656
Moscow,Bilbao,1.996007984031936
Moscow,Turin,1.996007984031936
Vladivostok,Brasov,1000.0
Vladivostok,Katowice,4.97512437810947
Vladivostok,Debrecen,3.3222591362125775
Yekaterinburg,Sarajevo,1.4265335235378045
Yekaterinburg,Constanta,1.1098779134295245
Yekaterinburg,Saint Petersburg,0.9990009990009991
Saint Petersburg,Podgorica,9.90099009901011
Saint Petersburg,Constanta,9.900990099009762
Saint Petersburg,Varna,4.97512437810947
Tyumen,Timisoara,1000.0
Tyumen,Burgas,9.90099009901011
Tyumen,Iasi,2.4937655860348995
Kazan,Novosibirsk,2.4937655860348995
Kazan,Nizhny Novgorod,1.996007984031936
Kazan,Sibiu,1.996007984031936
Novosibirsk,Nizhny Novgorod,9.90099009901011
Novosibirsk,Krasnodar,2.4937655860349217
Novosibirsk,Kazan,2.4937655860348995
Kaliningrad,Oradea,9.90099009901011
Kaliningrad,Skopje,9.900990099009762
Kaliningrad,Samara,4.97512437810947
Ufa,Tomsk,9.90099009901011
Ufa,Nis,9.900990099009762
Ufa,Rostov-on-Don (Rostov-na-donu),9.900990099009762
Samara,Oradea,9.900990099009762
Samara,Kaliningrad,4.97512437810947
Samara,Nis,4.97512437810947
Krasnodar,Skopje,4.97512437810947
Krasnodar,Kaliningrad,3.3222591362126166
Krasnodar,Nizhny Novgorod,3.3222591362126166
Nizhny Novgorod,Novosibirsk,9.90099009901011
Nizhny Novgorod,Krasnodar,3.3222591362126166
Nizhny Novgorod,Kazan,1.996007984031936
Tomsk,Ufa,9.90099009901011
Tomsk,Nis,4.97512437810947
Tomsk,Rostov-on-Don (Rostov-na-donu),4.97512437810947
Rostov-on-Don (Rostov-na-donu),Nis,1000.0
Rostov-on-Don (Rostov-na-donu),Ufa,9.900990099009762
Rostov-on-Don (Rostov-na-donu),Samara,4.97512437810947
Chelyabinsk,Tomsk,3.3222591362126166
Chelyabinsk,Ufa,2.4937655860349217
Chelyabinsk,Kiev (Kyiv),1.996007984031936
Perm,Minsk,2.4937655860349217
Perm,Kiev (Kyiv),2.4937655860348995
Perm,Chelyabinsk,1.10987791342952
Belgrade,Thessaloniki,9.900990099009762
Belgrade,Tirana,2.4937655860349217
Belgrade,Coimbra,1.996007984031936
Novi Sad,Varna,3.3222591362126166
Novi Sad,Katowice,2.4937655860349217
Novi Sad,Podgorica,2.4937655860348995
Nis,Rostov-on-Don (Rostov-na-donu),1000.0
Nis,Ufa,9.900990099009762
Nis,Samara,4.97512437810947
Bratislava,Bari,9.900990099009762
Bratislava,Porto,9.900990099009762
Bratislava,Athens,4.975124378109558
Kosice,Brno,3.3222591362125775
Kosice,Santa Cruz de Tenerife,3.3222591362125775
Kosice,Zagreb,1.996007984031936
Ljubljana,Naples,9.900990099009762
Ljubljana,Split,9.900990099009762
Ljubljana,Cagliari,3.322259136212656
Madrid,Gothenburg,1000.0
Madrid,Coventry,9.900990099009762
Madrid,Bordeaux,4.975124378109558
Barcelona,Liverpool,1000.0
Barcelona,Valletta,1000.0
Barcelona,Nuremberg,4.975124378109558
Palma de Mallorca,Lund,1000.0
Palma de Mallorca,Dresden,9.900990099009762
Palma de Mallorca,Turku,9.900990099009762
Bilbao,Turin,1000.0
Bilbao,Malaga,9.900990099009762
Bilbao,Warsaw,3.322259136212656
Oviedo,Las Palmas de Gran Canaria,9.900990099009762
Oviedo,Krakow (Cracow),4.975124378109382
Oviedo,Seville (Sevilla),4.975124378109382
Malaga,Bilbao,9.900990099009762
Malaga,Turin,9.900990099009762
Malaga,Warsaw,4.975124378109558
Santa Cruz de Tenerife,Brno,1000.0
Santa Cruz de Tenerife,Remagen,3.322259136212656
Santa Cruz de Tenerife,Kosice,3.3222591362125775
Alicante,Heraklion,1000.0
Alicante,Vilnius,4.975124378109558
Alicante,Tartu,2.4937655860349217
Valencia,Reggio Nell'emilia,4.975124378109558
Valencia,Bari,3.322259136212656
Valencia,Porto,3.322259136212656
Seville (Sevilla),Krakow (Cracow),1000.0
Seville (Sevilla),Budapest,9.900990099009762
Seville (Sevilla),Las Palmas de Gran Canaria,9.900990099009762
Las Palmas de Gran Canaria,Krakow (Cracow),9.900990099009762
Las Palmas de Gran Canaria,Oviedo,9.900990099009762
Las Palmas de Gran Canaria,Seville (Sevilla),9.900990099009762
Granada,Catania,9.900990099009762
Granada,Coimbra,9.900990099009762
Granada,Ostrava,9.900990099009762
Stockholm,Rotterdam,1000.0
Stockholm,The Hague (Den Haag),9.900990099009762
Stockholm,Cork,1.996007984031936
Malmo,Augsburg,1000.0
Malmo,Antwerp,9.900990099009762
Malmo,Groningen,9.900990099009762
Gothenburg,Madrid,1000.0
Gothenburg,Coventry,9.900990099009762
Gothenburg,Bordeaux,4.975124378109558
Uppsala,Mannheim,9.900990099009762
Uppsala,Nottingham,4.975124378109382
Uppsala,Belfast,3.322259136212656
Lund,Palma de Mallorca,1000.0
Lund,Dresden,9.900990099009762
Lund,Turku,9.900990099009762
Zurich,Geneva,0.2856326763781777
Zurich,Lausanne,0.09258401999814835
Zurich,Basel,0.07873395795606652
Geneva,Zurich,0.2856326763781777
Geneva,Lausanne,0.13696753869332973
Geneva,Basel,0.10868383871318349
Basel,Lausanne,0.5260389268805915
Basel,Lugano,0.39984006397441024
Basel,Bern,0.3844675124951929
Lausanne,Basel,0.5260389268805915
Lausanne,Lugano,0.22722108611679206
Lausanne,Bern,0.2221728504776716
Lugano,Bern,9.900990099009064
Lugano,London,0.4543389368468872
Lugano,Basel,0.39984006397441024
Bern,Lugano,9.900990099009064
Bern,London,0.4759638267491684
Bern,Basel,0.3844675124951929
Kiev (Kyiv),Perm,2.4937655860348995
Kiev (Kyiv),Chelyabinsk,1.996007984031936
Kiev (Kyiv),Minsk,1.2484394506866405
Dnipro,Stara Zagora,9.90099009901011
Dnipro,Lviv,1.663893510815304
Dnipro,Minsk,0.8326394671107417
Odessa (Odesa),Pristina,9.90099009901011
Odessa (Odesa),Lviv,0.6246096189881333
Odessa (Odesa),Dnipro,0.454338936846888
Lviv,Dnipro,1.663893510815304
Lviv,Stara Zagora,1.4265335235378045
Lviv,Pristina,0.6662225183211193
Kharkiv,Odessa (Odesa),0.43459365493263785
Kharkiv,Pristina,0.41649312786339054
Kharkiv,Lviv,0.2563445270443477
London,Bern,0.4759638267491684
London,Lugano,0.4543389368468872
London,Reykjavik,0.3844675124951929
Oxford,Haarlem,9.900990099009762
Oxford,Galway,1.663893510815304
Oxford,Paris,1.4265335235377974
Guildford,Brighton,3.3222591362125775
Guildford,Bergen,2.4937655860348773
Guildford,Trondheim,2.4937655860348773
Brighton,Bergen,9.900990099009762
Brighton,Trondheim,9.900990099009762
Brighton,Cork,4.975124378109558
Cambridge,Guildford,1.6638935108153237
Cambridge,Brighton,1.1098779134295245
Cambridge,Bergen,0.9990009990009991
Edinburgh,Frankfurt,4.975124378109558
Edinburgh,Reading,4.975124378109382
Edinburgh,Manchester,1.6638935108153237
Reading,Edinburgh,4.975124378109382
Reading,Frankfurt,2.4937655860349217
Reading,Bristol,1.4265335235377974
Bristol,Aarhus,3.322259136212656
Bristol,Delft,1.996007984031936
Bristol,Milan,1.4265335235378118
Southampton,Helsinki,9.900990099009762
Southampton,Hamburg,4.975124378109558
Southampton,Vienna,4.975124378109558
Manchester,Frankfurt,2.4937655860349217
Manchester,Edinburgh,1.6638935108153237
Manchester,Heidelberg,1.4265335235377974
Birmingham,Leeds,9.900990099010459
Birmingham,York,9.900990099010459
Birmingham,Strasbourg,4.975124378109382
Leeds,York,1000.0
Leeds,Birmingham,9.900990099010459
Leeds,Strasbourg,3.322259136212656
Glasgow,Sliema,9.900990099010459
Glasgow,Cologne,4.975124378109382
Glasgow,Darmstadt,4.975124378109382
Newcastle upon Tyne,Bologna,1000.0
Newcastle upon Tyne,Karlsruhe,3.3222591362125775
Newcastle upon Tyne,Lyon,3.3222591362125775
Milton Keynes,Odense,1000.0
Milton Keynes,Bournemouth,9.900990099010459
Milton Keynes,Stuttgart,4.975124378109382
York,Leeds,1000.0
York,Birmingham,9.900990099010459
York,Strasbourg,3.322259136212656
Cardiff,Strasbourg,9.900990099009762
Cardiff,Wiesbaden,9.900990099009762
Cardiff,Bonn,3.322259136212656
Bournemouth,Milton Keynes,9.900990099010459
Bournemouth,Odense,9.900990099010459
Bournemouth,Stuttgart,3.322259136212656
Liverpool,Barcelona,1000.0
Liverpool,Valletta,1000.0
Liverpool,Nuremberg,4.975124378109558
Belfast,Brescia,9.900990099009762
Belfast,Graz,9.900990099009762
Belfast,Uppsala,3.322259136212656
Nottingham,Bremen,9.900990099009762
Nottingham,Leuven,9.900990099009762
Nottingham,Mannheim,9.900990099009762
Coventry,Gothenburg,9.900990099009762
Coventry,Madrid,9.900990099009762
Coventry,Bordeaux,3.322259136212656
Sheffield,Leipzig,1000.0
Sheffield,Lille,9.900990099010459
Sheffield,Dresden,4.975124378109558
